Country,Capital,Region,Population
Republic of Abkhazia,Sukhumi,Asia,244000
Islamic Republic of Afghanistan,Kabul,Asia,35000000
Republic of Albania,Tirana,Europe,2402113
People's Democratic Republic of Algeria,Algiers,Africa,47400000
American Samoa,Pago Pago,Oceania,43268
Principality of Andorra,Andorra la Vella,Europe,89368
Republic of Angola,Luanda,Africa,36604681
Anguilla,The Valley,Americas,16010
Antarctica,N/A,Antarctic,1300
Antigua and Barbuda,Saint John's,Americas,106365
Argentine Republic,Buenos Aires,Americas,46735004
Republic of Armenia,Yerevan,Asia,3081100
Aruba,Oranjestad,Americas,108880
Commonwealth of Australia,Canberra,Oceania,27724744
Republic of Austria,Vienna,Europe,9219113
Republic of Azerbaijan,Baku,Asia,10353296
Commonwealth of the Bahamas,Nassau,Americas,398165
Kingdom of Bahrain,Manama,Asia,1501635
People's Republic of Bangladesh,Dhaka,Asia,175423000
Barbados,Bridgetown,Americas,281998
Republic of Belarus,Minsk,Europe,9109280
Kingdom of Belgium,Brussels,Europe,11867634
Belize,Belmopan,Americas,397483
Republic of Benin,Porto-Novo,Africa,13754688
Bermuda,Hamilton,Americas,63913
