team,matches_played,wins,losses,goals_scored,goals_conceded
France,25,15,5,55,31
Mexico,5,1,3,3,11
USA,8,2,5,12,25
Belgium,9,3,5,12,19
Yugoslavia,7,1,4,4,13
Brazil,40,25,10,89,54
Uruguay,15,6,8,27,32
Peru,3,0,3,2,11
Argentina,27,9,11,46,39
Italy,25,15,4,44,24
Germany,22,16,5,52,24
Spain,10,2,3,11,15
Austria,7,2,5,13,20
Sweden,9,2,7,16,29
Czechoslovakia,6,1,4,7,12
Poland,6,2,4,10,14
Norway,1,0,1,1,2
Hungary,7,4,3,31,15
England,18,3,11,21,32
South Korea,6,2,3,6,14
West Germany,24,11,10,44,53
Switzerland,1,0,1,5,7
Paraguay,2,0,2,3,8
Northern Ireland,1,0,1,0,4
Soviet Union,4,1,3,7,8
Chile,3,1,1,3,4
North Korea,2,1,1,4,5
Portugal,9,3,5,13,16
Bulgaria,3,1,2,11,9
East Germany,1,1,0,1,0
Netherlands,15,7,6,24,17
Algeria,2,1,1,3,3
Denmark,1,1,0,6,1
Cameroon,2,1,1,2,6
Colombia,2,1,0,3,1
Ireland,1,0,0,0,0
Romania,1,0,0,0,0
Bolivia,1,0,1,0,1
Russia,5,2,1,14,7
Scotland,1,0,1,1,2
Nigeria,1,1,0,3,2
Croatia,8,3,4,12,17
Senegal,1,1,0,1,0
Turkey,2,1,1,3,3
Costa Rica,2,0,2,4,8
Australia,3,1,2,3,6
Japan,3,2,1,5,5
Ukraine,1,0,1,0,3
South Africa,1,0,0,1,1
Ghana,1,1,0,2,1
Saudi Arabia,2,1,1,2,6
Qatar,1,0,1,0,2
Ecuador,1,1,0,2,0
Morocco,4,1,2,2,4
