Country,Capital,Region,Population
People's Republic of Bangladesh,Dhaka,Asia,175423000
People's Democratic Republic of Algeria,Algiers,Africa,47400000
Argentine Republic,Buenos Aires,Americas,46735004
Republic of Angola,Luanda,Africa,36604681
Islamic Republic of Afghanistan,Kabul,Asia,35000000
Commonwealth of Australia,Canberra,Oceania,27724744
Republic of Benin,Porto-Novo,Africa,13754688
Kingdom of Belgium,Brussels,Europe,11867634
Republic of Azerbaijan,Baku,Asia,10353296
Republic of Austria,Vienna,Europe,9219113
