year,stage,team1,score1,score2,team2,venue,city,country,date,notes
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,13-07-1930,First ever WC match
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,13-07-1930,
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,14-07-1930,
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,18-07-1930,
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,26-07-1930,
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,27-07-1930,
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,26-07-1930,
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,30-07-1930,First WC Final
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,27-05-1934,
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,27-05-1934,
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,31-05-1934,AET - replay
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,03-06-1934,
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,03-06-1934,
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,07-06-1934,
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,10-06-1934,AET
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,05-06-1938,AET - 11 goals!
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,05-06-1938,AET
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,12-06-1938,Replay
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,16-06-1938,
